company	firm_id	gvkey	year
aseglobal.com	3577	213412	2016
patternenergy.com	7512	18677	2016
unilever.com	8804	10845	2016
drhorton.com	5960	25340	2016
hmgcourtland.com	3324	5408	2016
mgrc.com	11354	7161	2016
werner.com	7341	12266	2016
thewaltdisneycompany.com	10637	3980	2016
xogroupinc.com	7972	127094	2016
milacron.com	8010	23569	2016
amrepcorp.com	6560	1618	2016
mannkindcorp.com	1277	160340	2016
ffnwb.com	3941	178545	2016
iridex.com	8854	62168	2016
yamana.com	9862	31519	2016
amedisys.com	11819	30612	2016
veracyte.com	8045	18947	2016
vistaoutdoor.com	881	22653	2016
groupon.com	944	187363	2016
morganstanley.com	11616	12124	2016
constellium.com	11066	17997	2016
westfieldbank.com	11258	146607	2016
bankfinancial.com	1244	161942	2016
kitovpharma.com	12503	291758	2016
uraniumenergy.com	8453	165798	2016
mysifi.com	8342	160667	2016
buildabear.com	10631	161055	2016
marten.com	11075	12625	2016
bankpatriot.com	2593	30647	2016
magna.com	3249	6946	2016
pentair.com	5504	8463	2016
alonpartners.com	4940	15235	2016
transact-tech.com	12365	63520	2016
gabelli.com	966	118264	2016
farmlandpartners.com	9647	19526	2016
ur-energy.com	1909	165637	2016
nutrien.com	892583	16582	2016
autonation.com	6854	9063	2016
ctiindustries.com	1893	65765	2016
apachecorp.com	228	1678	2016
microvision.com	8511	63531	2016
ultimatesoftware.com	12237	111064	2016
agilent.com	63727	126554	2016
acsf.com	11219	19545	2016
eatonvance.com	8604	4201	2016
olin.com	2457	8123	2016
bonso.com	2548	15327	2016
alibabagroup.com	3003	20530	2016
anixter.com	6165	6196	2016
ignyta.com	5666	19116	2016
tescocorp.com	12118	20747	2016
verint.com	7653	147242	2016
nice.com	9868	61902	2016
quidel.com	6322	7526	2016
hyster-yale.com	8564	160681	2016
qualcomm.com	10067	24800	2016
shoretel.com	4706	177127	2016
midwestone.com	6079	65796	2016
libertytripadvisorholdings.com	11844	20699	2016
petrochina.com.cn	5185	133870	2016
pacapts.com	9986	185345	2016
ruger.com	63214	10124	2016
onsemi.com	9262	134932	2016
novocure.com	3834	26123	2016
crestwoodlp.com	4831	162894	2016
idt.net	10494	62396	2016
eagleus.com	3127	19784	2016
oxy.com	1527	8068	2016
coresite.com	4554	185177	2016
apricusbio.com	9352	62110	2016
oasispetroleum.com	452	184442	2016
ampcopgh.com	859876	1613	2016
sap.com	12749	103487	2016
cvrpartners.com	1858	186139	2016
resoluteenergy.com	845922	179782	2016
adecoagro.com	2130	186275	2016
mondelezinternational.com	9909	142953	2016
trueblue.com	5532	22207	2016
tristatecapitalbank.com	9623	17696	2016
2u.com	3753	19881	2016
suncoke.com	12759	186773	2016
exar.com	12358	4476	2016
grantierra.com	11039	164046	2016
astafunding.com	1425	61544	2016
cnty.com	273	29151	2016
nationalbankholdings.com	10872	190963	2016
chiasmapharma.com	978	24523	2016
ampiopharma.com	1887	184465	2016
kimberly-clark.com	9417	6435	2016
cyclacel.com	8250	160809	2016
trimascorp.com	3282	15252	2016
slgreen.com	4365	65290	2016
curtisswright.com	8341	3662	2016
nuskin.com	605064	64028	2016
rmgnetworks.com	10113	187375	2016
egov.com	545	122078	2016
callon.com	892	15060	2016
arris.com	10954	28853	2016
corcept.com	7984	146616	2016
assuredguaranty.com	10120	157955	2016
rig.net	5217	185921	2016
horizonpharma.com	1871	185355	2016
kearnybank.com	11065	161853	2016
misonix.com	8097	24890	2016
icicibank.com	10993	223148	2016
cintas.com	2797	3062	2016
unitedrentals.com	7851	66065	2016
goldcorp.com	8050	15037	2016
sierraoncology.com	1400	25129	2016
gpigaming.com	6472	29964	2016
e-arc.com	5283	162076	2016
landmarkmlp.com	10746	22124	2016
usg.com	9918	10816	2016
ctscorp.com	11652	2577	2016
fortress.com	2908	176595	2016
mihomes.com	12453	12615	2016
performantcorp.com	98	170965	2016
novartis.com	12347	101310	2016
twec.com	10310	12421	2016
americanhomes4rent.com	4933	17639	2016
glatfelter.com	11600	5179	2016
cenovus.com	9538	183791	2016
nxt-id.com	7500	18490	2016
washreit.com	1354	11301	2016
conmed.com	5842	13623	2016
cmfn-inc.com	4881	19752	2016
solitarioxr.com	11710	30473	2016
sigmatronintl.com	3603	29698	2016
yandex.com	11606	187118	2016
gsk.com	6198	5180	2016
parkervision.com	2443	29332	2016
salesforce.com	941	157855	2016
valueline.com	6861	11099	2016
lilly.com	5126	6730	2016
alliantenergy.com	10275	11554	2016
earthstoneenergy.com	12332	22671	2016
unipixel.com	9409	147349	2016
hartehanks.com	10572	12545	2016
ggp.com	8728	28119	2016
safebulkers.com	8169	180112	2016
marathonoil.com	10493	7017	2016
consumerportfolio.com	12815	25852	2016
costco.com	8669	29028	2016
navigatorgas.com	8386	17408	2016
truecar.com	1251	20540	2016
aratana.com	12621	17567	2016
mercerint.com	6524	14563	2016
genesishcc.com	4660	23109	2016
fluidigm.com	6897	179840	2016
citizensinc.com	9055	16775	2016
blucora.com	12419	116772	2016
sanofi.com	12302	101204	2016
copt.com	8520	24825	2016
allete.com	9040	7437	2016
tollbrothers.com	7362	12395	2016
americanwoodmark.com	12102	12379	2016
crossamericapartners.com	7548	15212	2016
aspentech.com	781	30870	2016
alliedhpi.com	8784	24837	2016
markelcorp.com	2094	12909	2016
yanzhoucoal.com.cn	10001	108893	2016
chinaautologisticsinc.com	2846	178304	2016
thepeoples.com	4330	112254	2016
nciinc.com	1548	164432	2016
carolinatrust.com	9384	162555	2016
nobilishealth.com	7849	177472	2016
pcm.com	8220	31674	2016
callawaygolf.com	2467	24978	2016
ottertail.com	1491	8199	2016
caredxinc.com	1889	179834	2016
nfenergy.com	7565	152109	2016
aware.com	4505	63454	2016
tecnoglass.com	9274	170765	2016
express.com	5622	184323	2016
rockwellcollins.com	9102	144066	2016
fluor.com	9273	4818	2016
netgear.com	6497	154039	2016
cambrex.com	4985	13839	2016
radcom.com	8381	65460	2016
zillowgroup.com	6917	187039	2016
jmpg.com	7881	177255	2016
regulusrx.com	3148	13835	2016
j2global.com	2958	122172	2016
naturalgrocers.com	4639	11922	2016
kelloggcompany.com	3613	6375	2016
wavelifesciences.com	8252	26340	2016
ibioinc.com	9827	180683	2016
usfunds.com	5168	12407	2016
evergyinc.com	907583	6338	2016
manhattanbridgecapital.com	582	120456	2016
celyad.com	1620	315639	2016
cvrrefining.com	9436	15093	2016
suptech.com	3478	27913	2016
saic.com	2559	18683	2016
ii-vi.com	12697	14561	2016
